ship_name,class,uic,status,fleet,date_status_change,homeport,maintenance_category,berth,force,builder,award_date,commission_date,keel_date,inactivation_date,launch_date,decommission_date,age_since_launch,years_commission_decommission,delivery_date,in-service_date,age_since_delivery,out_of_service_date,stricken_date,overall_length,waterline_length,extreme_beam,waterline_beam,max_navigational_draft,draft_limit,light_displacement,full_displacement,dead_weight,hull material,num_propellers,num_waterjet,propulsion_type,officer_accom,enlisted_accom,custodian,planning_yard,nuclear_planning_yard,ship_program_mgr,comments,last_updated
CAPE DOUGLAS (AKR 5052),AKR 5051,21797,"Special, MARAD titled ship, assigned to the Ready Reserve Force (RRF), listed here as part of the U.S. Navy Ship Forces.",U.S. ATLANTIC FLEET,11/18/1985,,,"Charleston, SC",Strategic Sealift Force,,,,,,,,,,,,,,,680 ft,634 ft,99 ft,,31 ft,,13220 tons,34617 tons,21397 tons,"Steel hull, steel superstructure.",1,,Medium Speed Diesels,,,MARITIME ADMINISTRATION (NATIONAL DEFENSE RESERVE FLEET),Maritime Administration (MARAD),,,,11/03/2011
CAPE DUCATO (AKR 5051),AKR 5051,21796,"Special, MARAD titled ship, assigned to the Ready Reserve Force (RRF), listed here as part of the U.S. Navy Ship Forces.",U.S. ATLANTIC FLEET,12/10/1985,,,"Charleston, SC",Strategic Sealift Force,,,,,,,,,,,,,,,680 ft,634 ft,97 ft,,31 ft,,13220 tons,34617 tons,21397 tons,"Steel hull, steel superstructure.",1,,Medium Speed Diesels,,,MARITIME ADMINISTRATION (NATIONAL DEFENSE RESERVE FLEET),,,,,11/03/2011
CAPE EDMONT (AKR 5069),AKR 5051,47067,"Special, MARAD titled ship, assigned to the Ready Reserve Force (RRF), listed here as part of the U.S. Navy Ship Forces.",U.S. ATLANTIC FLEET,04/16/1987,,,"Charleston, SC",Strategic Sealift Force,,,,,,,,,,,,,,,653 ft,603 ft,94 ft,,35 ft,,12000 tons,32516 tons,20516 tons,"Steel hull, steel superstructure.",1,,Medium Speed Diesels,,,MARITIME ADMINISTRATION (NATIONAL DEFENSE RESERVE FLEET),Maritime Administration (MARAD),,,,11/03/2011
CAPE FAREWELL (AK 5073),AK 981,21982,"Special, MARAD titled ship, assigned to the Ready Reserve Force (RRF), listed here as part of the U.S. Navy Ship Forces.",,04/02/1987,,,"Beaumont Reserve Fleet, Beaumont, TX",Strategic Sealift Force,Avondale Marine Ways Inc.,,,,,,,,,,,,,,894 ft,797 ft,100 ft,,36 ft,,18900 tons,57150 tons,38250 tons,"Steel hull, steel superstructure.",1,,Steam Turbines,,,MARITIME ADMINISTRATION (NATIONAL DEFENSE RESERVE FLEET),Maritime Administration (MARAD),,,,09/27/2017
CAPE FEAR (AK 5061),AK 881,21603,Disposed of by Navy title transfer to the Maritime Administration,,07/28/2006,,,,,,,,,,,,,,,,,,,820 ft,724 ft,100 ft,,36 ft,,14790 tons,44610 tons,29820 tons,"Steel hull, steel superstructure.",1,,Steam Turbines,,,,,,,,06/27/2018
CAPE FLATTERY (AK 5070),AK 981,47068,"Special, MARAD titled ship, assigned to the Ready Reserve Force (RRF), listed here as part of the U.S. Navy Ship Forces.",,05/14/1987,,,"Beaumont Reserve Fleet, Beaumont, TX",Strategic Sealift Force,Avondale Marine Ways Inc.,05/19/1971,,02/10/1972,,05/19/1973,,45.3,,09/12/1973,,45.0,,,894 ft,797 ft,100 ft,,36 ft,,18900 tons,57150 tons,38250 tons,"Steel hull, steel superstructure.",1,,Steam Turbines,,,MARITIME ADMINISTRATION (NATIONAL DEFENSE RESERVE FLEET),Maritime Administration (MARAD),,,,09/27/2017
CAPE FLORIDA (AK 5071),AK 881,47069,Disposed of by Navy title transfer to the Maritime Administration,,07/27/2006,,,,,Avondale Marine Ways Inc.,11/14/1967,,12/29/1969,,10/10/1970,,35.8,,02/11/1971,,35.4,,,820 ft,724 ft,100 ft,,36 ft,,14790 tons,44610 tons,29820 tons,"Steel hull, steel superstructure.",1,,Steam Turbines,,,,,,,,06/27/2018
CAPE GIBSON (AK 5051),AK 575,47662,Disposed of by Navy title transfer to the Maritime Administration,,10/01/2009,,,,,Newport News Shipbuilding,,,,,,,,,,,,,,605 ft,,82 ft,,35 ft,,9779 tons,31995 tons,22216 tons,"Steel hull, steel superstructure.",1,,Steam Turbines,,,MARITIME ADMINISTRATION (NATIONAL DEFENSE RESERVE FLEET),,,,,03/18/2010
CAPE GIRARDEAU (AK 2039),AK 575,21664,Disposed of by Navy title transfer to the Maritime Administration,,10/23/2008,,,"Suisun Bay Reserve Fleet, Benecia, CA",,Newport News Shipbuilding,,,,,,,,,,,,,,605 ft,,82 ft,,35 ft,,9779 tons,31995 tons,22216 tons,"Steel hull, steel superstructure.",1,,Steam Turbines,,,,,,,,06/27/2018
CAPE GLOUCESTER (AKV 9),AKV 8,07336,"Disposed of, by Navy Sale",,11/20/1972,,,,,"Todd Pacific Shipyards, Inc.",01/25/1943,03/05/1945,01/10/1944,,09/12/1944,11/05/1946,28.2,1.0,03/05/1945,,27.7,,04/01/1971,557 ft,525 ft,104 ft,75 ft,33 ft,32 ft,10330 tons,24560 tons,14230 tons,"Steel hull, steel superstructure.",2,,Steam Turbines,122,1048,"SCHOOLS, ORGANIZATIONS AND PRIVATE ENTERPRISES",,,,,01/02/2002
CAPE HENRY (AKR 5067),AKR 5051,47236,"Special, MARAD titled ship, assigned to the Ready Reserve Force (RRF), listed here as part of the U.S. Navy Ship Forces.",U.S. PACIFIC FLEET,09/29/1986,,,"San Francisco, CA",Strategic Sealift Force,,,,,,,,,,,,,,,750 ft,694 ft,106 ft,,35 ft,,15000 tons,51836 tons,36836 tons,"Steel hull, steel superstructure.",1,,Slow Speed Diesels,,,MARITIME ADMINISTRATION (NATIONAL DEFENSE RESERVE FLEET),Maritime Administration (MARAD),,,,11/03/2011
CAPE HORN (AKR 5068),AKR 5051,47047,"Special, MARAD titled ship, assigned to the Ready Reserve Force (RRF), listed here as part of the U.S. Navy Ship Forces.",U.S. PACIFIC FLEET,12/15/1986,,,"San Francisco, CA",Strategic Sealift Force,,,,,,,,,,,,,,,750 ft,694 ft,106 ft,,35 ft,,15000 tons,51836 tons,36836 tons,"Steel hull, steel superstructure.",1,,Slow Speed Diesels,,,MARITIME ADMINISTRATION (NATIONAL DEFENSE RESERVE FLEET),Maritime Administration (MARAD),,,,11/03/2011
CAPE HUDSON (AKR 5066),AKR 5051,47235,"Special, MARAD titled ship, assigned to the Ready Reserve Force (RRF), listed here as part of the U.S. Navy Ship Forces.",U.S. PACIFIC FLEET,11/25/1986,,,"San Francisco, CA",Strategic Sealift Force,,,,,,,,,,,,,,,750 ft,694 ft,106 ft,,35 ft,,15000 tons,51836 tons,36836 tons,"Steel hull, steel superstructure.",1,,Slow Speed Diesels,,,MARITIME ADMINISTRATION (NATIONAL DEFENSE RESERVE FLEET),Maritime Administration (MARAD),,,,11/03/2011
CAPE INSCRIPTION (AKR 5076),AKR 5051,47321,"Special, MARAD titled ship, assigned to the Ready Reserve Force (RRF), listed here as part of the U.S. Navy Ship Forces.",U.S. PACIFIC FLEET,09/08/1987,,,"Long Beach, CA",Strategic Sealift Force,Bath Iron Works Corp.,06/30/1972,,07/01/1974,,05/24/1975,,43.3,,04/27/1976,,42.4,,,685 ft,640 ft,102 ft,,32 ft,,15000 tons,33900 tons,18900 tons,"Steel hull, steel superstructure.",1,,Steam Turbines,,,MARITIME ADMINISTRATION (NATIONAL DEFENSE RESERVE FLEET),Maritime Administration (MARAD),,,,11/03/2011
CAPE INTREPID (AKR 11),AKR 10,43550,"Special, MARAD titled ship, assigned to the Ready Reserve Force (RRF), listed here as part of the U.S. Navy Ship Forces.",U.S. PACIFIC FLEET,04/26/1986,,,"Tacoma, WA",Strategic Sealift Force,Bath Iron Works Corp.,06/30/1972,,01/27/1975,,11/01/1975,,42.8,,06/08/1976,,42.3,,,685 ft,640 ft,102 ft,,32 ft,,15000 tons,33900 tons,18900 tons,"Steel hull, steel superstructure.",2,,Steam Turbines,,,MARITIME ADMINISTRATION (NATIONAL DEFENSE RESERVE FLEET),,,,RETURNED TO MARAD AND RENAMED CAPE INTRIPID AND ON 4/26/1986 SHE WAS ASSIGNED TO THE READY RESERVE FORCE (RRF).,11/03/2011
CAPE ISABEL (AKR 5062),AKR 5051,40880,"Special, MARAD titled ship, assigned to the Ready Reserve Force (RRF), listed here as part of the U.S. Navy Ship Forces.",U.S. PACIFIC FLEET,06/09/1986,,,"Long Beach, CA",Strategic Sealift Force,Bath Iron Works Corp.,06/30/1972,,07/28/1975,,05/15/1976,,42.3,,11/30/1976,,41.8,,,685 ft,640 ft,102 ft,,32 ft,,15000 tons,33900 tons,18900 tons,"Steel hull, steel superstructure.",1,,Steam Turbines,,,MARITIME ADMINISTRATION (NATIONAL DEFENSE RESERVE FLEET),Maritime Administration (MARAD),,,,11/03/2011
CAPE ISLAND (AKR 10),AKR 10,43551,"Special, MARAD titled ship, assigned to the Ready Reserve Force (RRF), listed here as part of the U.S. Navy Ship Forces.",U.S. PACIFIC FLEET,11/22/1993,,,"Tacoma, WA",Strategic Sealift Force,Bath Iron Works Corp.,12/21/1972,,02/16/1976,,12/21/1976,,41.8,,06/02/1977,,41.3,,,685 ft,640 ft,102 ft,,32 ft,,15000 tons,33900 tons,18900 tons,"Steel hull, steel superstructure.",2,,Steam Turbines,,,MARITIME ADMINISTRATION (NATIONAL DEFENSE RESERVE FLEET),Military Sealift Command,,MSC,RETURNED TO MARAD AND RENAMED CAPE ISLAND AND ON 11/22/1993 SHE WAS ASSIGNED TO THE READY RESERVE FORCE (RRF).,10/28/2011
CAPE JACOB (AK 5029),AK 451,21734,"Special, MARAD titled ship, assigned to the Ready Reserve Force (RRF), listed here as part of the U.S. Navy Ship Forces.",U.S. PACIFIC FLEET,12/15/1980,,,"Diego Garcia, British Indian Ocean Territory",Strategic Sealift Force,Newport News Shipbuilding,,,,,,,,,,,,,,565 ft,,76 ft,,32 ft,,8280 tons,22629 tons,14349 tons,"Steel hull, wood superstructure.",1,,Steam Turbines,,,MARITIME ADMINISTRATION (NATIONAL DEFENSE RESERVE FLEET),Maritime Administration (MARAD),,,,06/21/2002
CAPE JOHN (AK 5022),AK 451,21730,Disposed of by Navy title transfer to the Maritime Administration,,09/01/2004,,,,,National Steel & Shipbuilding Corp.,,,,,,,,,,,,,,565 ft,,76 ft,,32 ft,,8280 tons,22629 tons,14349 tons,"Steel hull, steel superstructure.",1,,Steam Turbines,,,,,,,,09/27/2017
CAPE JOHNSON (AK 5075),AK 451,40881,Disposed of by Navy title transfer to the Maritime Administration,,09/01/2004,,,,,National Steel & Shipbuilding Corp.,02/28/1961,,08/12/1961,,05/05/1962,,42.3,,11/26/1962,,41.8,,,565 ft,,76 ft,,32 ft,,8280 tons,22629 tons,14349 tons,"Steel hull, steel superstructure.",1,,Steam Turbines,,,,,,,,06/27/2018
CAPE JUBY (AK 5077),AK 451,47663,Disposed of by Navy title transfer to the Maritime Administration,,09/01/2004,,,,,Newport News Shipbuilding,02/29/1960,,07/31/1961,,02/09/1962,,42.6,,08/16/1962,,42.1,,,565 ft,,76 ft,,32 ft,,8290 tons,22629 tons,14339 tons,"Steel hull, steel superstructure.",1,,Steam Turbines,,,,,,,,06/27/2018
CAPE KENNEDY (AKR 5083),AKR 5051,23041,"Special, MARAD titled ship, assigned to the Ready Reserve Force (RRF), listed here as part of the U.S. Navy Ship Forces.",,06/11/1996,,,"New Orleans, LA",Strategic Sealift Force,,,,,,,,,,,,,,,696 ft,652 ft,106 ft,,35 ft,,15718 tons,44466 tons,28748 tons,"Steel hull, wood superstructure.",1,,Slow Speed Diesels,,,MARITIME ADMINISTRATION (NATIONAL DEFENSE RESERVE FLEET),Maritime Administration (MARAD),,,,09/27/2017
CAPE KNOX (AKR 5082),AKR 5051,13113,"Special, MARAD titled ship, assigned to the Ready Reserve Force (RRF), listed here as part of the U.S. Navy Ship Forces.",,07/15/1996,,,"New Orleans, LA",Strategic Sealift Force,,,,,,,,,,,,,,,696 ft,652 ft,106 ft,,35 ft,,15718 tons,44466 tons,28748 tons,"Steel hull, steel superstructure.",1,,Slow Speed Diesels,,,MARITIME ADMINISTRATION (NATIONAL DEFENSE RESERVE FLEET),Maritime Administration (MARAD),,,,11/03/2011
CAPE LAMBERT (AKR 5077),AKR 5051,47664,Disposed of by Navy title transfer to the Maritime Administration,,11/05/1987,,,,,,,,,,,,,,,,,,,682 ft,622 ft,75 ft,,30 ft,,12000 tons,30360 tons,18360 tons,"Steel hull, steel superstructure.",2,,Medium Speed Diesels,,,,,,,,06/27/2018
CAPE LOBOS (AKR 5078),AKR 5051,47667,Disposed of by Navy title transfer to the Maritime Administration,,03/14/1988,,,,,,,,,,,,,,,,,,,682 ft,662 ft,75 ft,,30 ft,,12000 tons,30360 tons,18360 tons,"Steel hull, steel superstructure.",2,,Medium Speed Diesels,,,,,,,,06/27/2018
CAPE MAY (AKR 5063),AK 882,47562,"Special, MARAD titled ship, assigned to the Ready Reserve Force (RRF), listed here as part of the U.S. Navy Ship Forces.",U.S. ATLANTIC FLEET,03/14/1988,,,"Norfolk, VA",Strategic Sealift Force,General Dynamics Corp.,10/31/1968,,03/03/1971,,02/27/1972,,46.6,,09/26/1972,,46.0,,,876 ft,723 ft,106 ft,,40 ft,,18900 tons,55660 tons,36760 tons,"Steel hull, steel superstructure.",1,,Steam Turbines,,,MARITIME ADMINISTRATION (NATIONAL DEFENSE RESERVE FLEET),Maritime Administration (MARAD),,,,11/03/2011
CAPE MENDOCINO (AKR 5064),AK 882,47563,Disposed of by Navy title transfer to the Maritime Administration,,09/01/2004,,,,,General Dynamics Corp.,10/31/1968,,07/15/1970,,07/10/1971,,33.2,,06/21/1972,,32.3,,,876 ft,723 ft,106 ft,,40 ft,,18900 tons,55660 tons,36760 tons,"Steel hull, steel superstructure.",1,,Steam Turbines,,,,,,,,06/27/2018
CAPE MOHICAN (AKR 5065),AK 882,47564,"Special, MARAD titled ship, assigned to the Ready Reserve Force (RRF), listed here as part of the U.S. Navy Ship Forces.",U.S. PACIFIC FLEET,09/13/1986,,,"Alameda, CA",Strategic Sealift Force,General Dynamics Corp.,10/31/1968,,07/15/1971,,09/23/1972,,46.0,,03/16/1973,,45.5,,,876 ft,723 ft,106 ft,,40 ft,,18980 tons,55660 tons,36680 tons,"Steel hull, steel superstructure.",1,,Steam Turbines,,,MARITIME ADMINISTRATION (NATIONAL DEFENSE RESERVE FLEET),Maritime Administration (MARAD),,,,11/03/2011
CAPE NOME (AK 1014),AK 578,21521,Disposed of by Navy title transfer to the Maritime Administration,,09/01/2004,,,,,Ingalls Shipbuilding Corp.,06/30/1966,,05/13/1968,,04/11/1969,,35.4,,09/26/1969,,35.0,,,602 ft,,90 ft,,34 ft,,12286 tons,27980 tons,15694 tons,"Steel hull, steel superstructure.",1,,Steam Turbines,,,,,,,,09/27/2017
CAPE ORLANDO (AKR 2044),AKR 5051,21666,"Special, MARAD titled ship, assigned to the Ready Reserve Force (RRF), listed here as part of the U.S. Navy Ship Forces.",U.S. PACIFIC FLEET,09/12/1994,,,"Alameda, CA",Strategic Sealift Force,,,,,,,,,,,,,,,635 ft,593 ft,92 ft,,30 ft,,13166 tons,32799 tons,19633 tons,"Steel hull, steel superstructure.",2,,Slow Speed Diesels,,,MARITIME ADMINISTRATION (NATIONAL DEFENSE RESERVE FLEET),,,,,11/03/2011
CAPE RACE (AKR 9960),AKR 5051,22223,"Special, MARAD titled ship, assigned to the Ready Reserve Force (RRF), listed here as part of the U.S. Navy Ship Forces.",U.S. ATLANTIC FLEET,09/11/1994,,,"Portsmouth, VA",Strategic Sealift Force,,,,,,,,,,,,,,,648 ft,591 ft,106 ft,,33 ft,,12872 tons,35357 tons,22485 tons,"Steel hull, steel superstructure.",1,,Medium Speed Diesels,,,MARITIME ADMINISTRATION (NATIONAL DEFENSE RESERVE FLEET),Maritime Administration (MARAD),,,,11/03/2011
CAPE RAY (AKR 9679),AKR 5051,40903,"Special, MARAD titled ship, assigned to the Ready Reserve Force (RRF), listed here as part of the U.S. Navy Ship Forces.",U.S. ATLANTIC FLEET,12/17/1994,,,"Portsmouth, VA",Strategic Sealift Force,,,,,,,,,,,,,,,648 ft,591 ft,106 ft,,33 ft,,12872 tons,35357 tons,22485 tons,"Steel hull, steel superstructure.",1,,Medium Speed Diesels,,,MARITIME ADMINISTRATION (NATIONAL DEFENSE RESERVE FLEET),Maritime Administration (MARAD),,,,11/03/2011
CAPE RISE (AKR 9678),AKR 5051,40902,"Special, MARAD titled ship, assigned to the Ready Reserve Force (RRF), listed here as part of the U.S. Navy Ship Forces.",U.S. ATLANTIC FLEET,11/21/1994,,,"Portsmouth, VA",Strategic Sealift Force,,,,,,,,,,,,,,,648 ft,591 ft,106 ft,,33 ft,,12872 tons,35357 tons,22485 tons,"Steel hull, steel superstructure.",1,,Medium Speed Diesels,,,MARITIME ADMINISTRATION (NATIONAL DEFENSE RESERVE FLEET),Maritime Administration (MARAD),,,,11/03/2011
CAPE TAYLOR (AKR 113),AKR 5051,44167,"Special, MARAD titled ship, assigned to the Ready Reserve Force (RRF), listed here as part of the U.S. Navy Ship Forces.",,07/27/1994,,,"Houston, TX",Strategic Sealift Force,,,,,,,,,,,,,,,634 ft,584 ft,89 ft,,28 ft,,9687 tons,24555 tons,14868 tons,"Steel hull, wood superstructure.",1,,Medium Speed Diesels,,,MARITIME ADMINISTRATION (NATIONAL DEFENSE RESERVE FLEET),Maritime Administration (MARAD),,,,09/27/2017
CAPE TEXAS (AKR 112),AKR 5051,44168,"Special, MARAD titled ship, assigned to the Ready Reserve Force (RRF), listed here as part of the U.S. Navy Ship Forces.",,08/19/1994,,,"Houston, TX",Strategic Sealift Force,,,,,,,,,,,,,,,634 ft,584 ft,89 ft,,30 ft,,9687 tons,24555 tons,14868 tons,"Steel hull, steel superstructure.",1,,Medium Speed Diesels,,,MARITIME ADMINISTRATION (NATIONAL DEFENSE RESERVE FLEET),Maritime Administration (MARAD),,,,09/27/2017
CAPE TRINITY (AKR 9711),AKR 5051,40935,"Special, MARAD titled ship, assigned to the Ready Reserve Force (RRF), listed here as part of the U.S. Navy Ship Forces.",,11/15/1994,,,"Beaumont Reserve Fleet, Beaumont, TX",Strategic Sealift Force,,,,,,,,,,,,,,,634 ft,584 ft,89 ft,,30 ft,,9687 tons,24555 tons,14868 tons,"Steel hull, steel superstructure.",1,,Medium Speed Diesels,,,MARITIME ADMINISTRATION (NATIONAL DEFENSE RESERVE FLEET),Maritime Administration (MARAD),,,,09/27/2017
CAPE VICTORY (AKR 9701),AKR 5051,40925,"Special, MARAD titled ship, assigned to the Ready Reserve Force (RRF), listed here as part of the U.S. Navy Ship Forces.",,09/02/1994,,,"Beaumont Reserve Fleet, Beaumont, TX",Strategic Sealift Force,,,,,,,,,,,,,,,632 ft,567 ft,87 ft,,28 ft,,10581 tons,30644 tons,20063 tons,"Steel hull, steel superstructure.",1,,Slow Speed Diesels,,,MARITIME ADMINISTRATION (NATIONAL DEFENSE RESERVE FLEET),Maritime Administration (MARAD),,,,09/27/2017
CAPE VINCENT (AKR 9666),AKR 5051,40890,"Special, MARAD titled ship, assigned to the Ready Reserve Force (RRF), listed here as part of the U.S. Navy Ship Forces.",,08/19/1994,,,"Beaumont Reserve Fleet, Beaumont, TX",Strategic Sealift Force,,,,,,,,,,,,,,,632 ft,567 ft,87 ft,,28 ft,,10581 tons,30644 tons,20063 tons,"Steel hull, steel superstructure.",1,,Slow Speed Diesels,,,MARITIME ADMINISTRATION (NATIONAL DEFENSE RESERVE FLEET),Maritime Administration (MARAD),,,,09/27/2017
CAPE WASHINGTON (AKR 9961),AKR 5051,22224,"Special, MARAD titled ship, assigned to the Ready Reserve Force (RRF), listed here as part of the U.S. Navy Ship Forces.",U.S. ATLANTIC FLEET,04/05/1994,,,"Baltimore, MD",Strategic Sealift Force,,,,,,,,,,,,,,,697 ft,,106 ft,,38 ft,,22145 tons,53500 tons,31355 tons,"Steel hull, steel superstructure.",1,,Slow Speed Diesels,,,MARITIME ADMINISTRATION (NATIONAL DEFENSE RESERVE FLEET),Maritime Administration (MARAD),,,,11/03/2011
CAPE WRATH (AKR 9962),AKR 5051,22225,"Special, MARAD titled ship, assigned to the Ready Reserve Force (RRF), listed here as part of the U.S. Navy Ship Forces.",U.S. ATLANTIC FLEET,03/03/1994,,,"Baltimore, MD",Strategic Sealift Force,,,,,,,,,,,,,,,697 ft,,106 ft,,38 ft,,22145 tons,53500 tons,31355 tons,"Steel hull, steel superstructure.",1,,Slow Speed Diesels,,,MARITIME ADMINISTRATION (NATIONAL DEFENSE RESERVE FLEET),Maritime Administration (MARAD),,,,11/03/2011
CAPELLA (AKR 293),AKR 287,21505,"Special, MARAD titled ship, assigned to the Ready Reserve Force (RRF), listed here as part of the U.S. Navy Ship Forces.",,10/01/2008,,,,Strategic Sealift Force,"Droog-dok, Maalschappy",,,,,09/01/1972,,46.0,,10/01/1972,,45.9,,,947 ft,893 ft,106 ft,106 ft,37 ft,32 ft,29692 tons,61987 tons,32295 tons,"Steel hull, steel superstructure.",2,,Steam Turbines,,,MARITIME ADMINISTRATION (NATIONAL DEFENSE RESERVE FLEET),,,,ON 01 OCT 2007 CUSTODY WAS TRANSFERRED TO MARAD. FULL TITLE WAS TRANSFERRED 01 OCT 2008 AND SHIP LOST THEIR USNS DESIGNATION.,11/03/2011
CAPERTON (DD 650),DD 448,04050,"Disposed of by transfer to other Government Agencies, States. Schools, Sea Scouts, etc.",,12/01/1974,,,,,Bath Iron Works Corp.,12/23/1941,07/30/1943,02/18/1943,,,04/27/1960,,17.0,,,,,12/01/1974,376 ft,,,,,,2050 tons,,,"Steel hull, steel superstructure.",2,,Steam Turbines,,,US NAVY,,,,,07/26/2004
CAPITAINE (AGSS 336),AGSS 285,05436,"Disposed of  through the Security Assistance Program (SAP), transferred, cash sale, ex-US fleet hull foreign military sale case number assigned",,12/01/1977,,,,,,,01/26/1945,,,,,,,,,,,,,,,,,,,,,,,,,,,ITALY,,,,,02/25/2003
CAPODANNO (FF 1093),FF 1052,20071,"Disposed of  through the Security Assistance Program (SAP), transferred, Foreign Assistance Act (FAA) Section 516, Southern Region Amendment",,02/22/2002,,,,,Avondale Industries,08/25/1966,11/17/1973,10/12/1971,,10/21/1972,07/30/1993,29.3,20.0,10/18/1973,,28.3,,01/11/1995,438 ft,415 ft,47 ft,47 ft,25 ft,17 ft,3220 tons,4200 tons,980 tons,"Steel hull, aluminum superstructure.",1,,Steam Turbines,20,267,TURKEY,,,,,01/23/2006
CAPPS (DD 550),DD 448,04550,"Disposed of  through the Security Assistance Program (SAP), transferred, cash sale, ex-US fleet hull foreign military sale case number assigned",,12/01/1972,,,,,,,06/23/1943,,,,01/15/1947,,4.0,,,,,10/01/1972,,,,,,,,,,,,,,,,SPAIN,,,,,03/01/2002
CAPRICORNUS (LKA 57),LKA 54,01257,Disposed of by MARAD exchange,,09/17/1983,,,,,,06/11/1942,05/31/1944,05/05/1943,,08/14/1943,,40.1,,11/25/1943,,39.8,,01/01/1977,,,,,,,,,,,,,,,,MARITIME ADMINISTRATION (NATIONAL DEFENSE RESERVE FLEET),,,,,02/26/2002
CAPT STEVEN L BENNETT (AK 4296),AK 4296,23077,Disposed of by return to owner,,03/09/2015,,,,,,,,,,,,,,01/01/1984,,31.2,,,687 ft,,102 ft,,38 ft,,,53727 tons,,,1,,Diesel,,,,,,,,04/21/2016
CARBONERO (SS 337),SS 328,05437,Disposed of in support of Fleet training exercise,,04/01/1975,,,,,,04/10/1942,02/07/1945,12/16/1943,,10/15/1944,,30.5,,02/06/1945,,30.2,,12/01/1970,,,,,,,,,,,,,,,,US NAVY,,,,,03/01/2002
CARDINAL (MHC 60),MHC 51,22152,"Disposed of through the Security Assistance Program (SAP), Foreign Military Sale or Lease",,01/07/2007,,,,,Intermarine U. S. A.,04/22/1992,10/18/1997,04/13/1994,,03/09/1996,01/07/2007,10.8,10.0,07/15/1997,,9.5,,01/07/2007,188 ft,174 ft,38 ft,36 ft,11 ft,11 ft,828 tons,916 tons,88 tons,Composite hull.,2,,Diesel Engines,5,46,EGYPT,,,,USS CARDINAL WAS TRANSFERRED TO THE EGYPTIAN NAVY UNDER A FOREIGN MILITARY SALES AGREEMENT IN JAN 07.,11/05/2007
CARIB (ATF 82), ,07082,"Disposed of  through the Security Assistance Program (SAP), transferred, cash sale, ex-US fleet hull foreign military sale case number assigned",,03/01/1979,,,,,,,07/24/1943,,,,01/24/1947,,4.0,,,,,07/01/1963,,,,,,,,,,,,,,,,COLOMBIA,,,,,03/01/2002
CARL M LEVIN (DDG 120),DDG 51,50401,Under construction,,09/11/2016,,,,,Bath Iron Works Corp.,03/14/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/12/2017
CAROLINE COUNTY (LST 525),LST 491,50525,"Disposed of, by Navy Sale",,08/01/1975,,,,,,06/12/1943,,10/18/1943,,12/20/1943,,31.7,,01/31/1944,,31.6,,09/15/1974,,,,,,,,,,,,,,,,"SCHOOLS, ORGANIZATIONS AND PRIVATE ENTERPRISES",,,,,02/22/2002
CARON (DD 970),DD 963,20590,Disposed of in support of Fleet training exercise,,12/04/2002,,,,,Ingalls Shipbuilding Corp.,01/15/1971,10/01/1977,07/01/1974,,06/24/1975,10/15/2001,27.5,24.0,09/05/1977,,25.3,,06/05/2002,563 ft,529 ft,55 ft,55 ft,32 ft,23 ft,6810 tons,9240 tons,2430 tons,"Steel hull, aluminum superstructure.",2,,Gas Turbines,34,327,,,,,,09/29/2015
CARPELLOTTI (APD 136),APD 87,53720,Disposed of by Dismantling (Scrapping/Recycling),,05/31/1960,,,,,Defoe Shipbuilding Co.,10/09/1942,07/30/1945,10/31/1944,,03/10/1945,04/21/1958,15.2,13.0,07/30/1945,,14.8,,12/01/1959,306 ft,300 ft,37 ft,36 ft,13 ft,,,,,"Steel hull, steel superstructure.",2,,,,,,,,,,12/12/2017
CARPENTER (DD 825),DD 710,52125,"Disposed of  through the Security Assistance Program (SAP), transferred, Foreign Assistance Act (FAA) Section 516, Southern Region Amendment",,08/17/1988,,,,,Consolidated Steel Corp. of Texas,07/19/1940,12/15/1949,07/30/1945,,12/30/1945,,42.7,,12/15/1949,,38.7,,02/20/1981,,,,,,,,,,"Steel hull, steel superstructure.",,,Steam Turbines,,,TURKEY,,,,,03/13/2001
CARR (FFG 52),FFG 7,21233,"Stricken, Final Disposition Pending",,03/13/2013,,X,"NAVSEA Inactive Ships On-site Maintenance Office, Philadelphia, PA",,"Todd Shipyards Corp., Seattle Div",05/22/1981,07/27/1985,03/26/1982,,02/26/1983,03/13/2013,35.6,28.0,07/11/1985,,33.2,,03/13/2013,453 ft,408 ft,47 ft,47 ft,26 ft,17 ft,3167 tons,4100 tons,933 tons,"Steel hull, aluminum superstructure.",1,,Gas Turbines,19,200,"NAVSEA INACTIVE SHIPS ON-SITE MAINTENANCE OFFICE, PHILADELPHIA, PA",,,,,12/12/2017
CARRONADE (LFR 1),LFR 1,55751,"Disposed of, by Navy Sale",,09/01/1974,,,,,,01/17/1952,05/25/1955,11/19/1952,07/24/1970,05/26/1953,05/31/1960,21.3,5.0,05/18/1955,,19.3,,05/01/1973,,,,,,,,,,,,,,,,"SCHOOLS, ORGANIZATIONS AND PRIVATE ENTERPRISES",,,,,07/21/2010
